class,journal_rank,name,general,code,software,sequences,specimens,statement,research_dollars,source
journal,86,Mycologia,,,,,,,,
journal,87,Zoologica Scripta,,,,EX,EN,,,
journal,88,Biological Invasions,EN,,,RQ,,RQ,,
journal,89,Archaea,,,,,,EX,,
journal,90,Biological Journal of the Linnean Society,,,,,RQ,,,
journal,91,Global Ecology and Conservation,EN,EN,EN,EN,,EN,,
journal,92,Environmental Microbiology Reports,RQ,,,RQ,,,,
journal,93,Ecology and Evolution,RQ,EX,EX,RQ,,RQ,,
journal,94,"Perspectives in Plant Ecology, Evolution and Systematics",EN,EN,EN,EN,,EN,,
journal,95,Biodiversity and Conservation,EN,,,RQ,,EN,,
journal,96,Environmental and Experimental Botany,EN,EN,EN,EN,,EN,,
journal,97,Animal Cognition,EN,,,RQ,,EN,,
journal,98,Canadian Journal of Fisheries and Aquatic Sciences,EN,,,,,,,
journal,99,"Cryptogamie, Mycologie",,,,RQ,RQ,,,
journal,100,"Infection, Genetics and Evolution",EN,EN,EN,EN,,EN,,
journal,101,Condor,,,,,,,,
journal,102,Journal of Marine Systems,EN,EN,EN,EN,,EN,,
journal,103,Journal of Anatomy,EN,EN,EN,,,RQ,,
journal,104,Basic and Applied Ecology,RQ,,,RQ,,,,
funding,,National Institute of Health,RQ,RQ,RQ,RQ,,RQ,3.01E+10,https://www.nih.gov/about-nih/what-we-do/budget
funding,,National Science Foundation,RQ,,RQ,RQ,RQ,RQ,8.80E+09,https://www.nsf.gov/about/glance.jsp
funding,,US Forest Service,RQ,,,,,RQ,2.59E+08,https://en.wikipedia.org/wiki/United_States_Forest_Service#Budget
funding,,US Department of Energy,RQ,RQ,RQ,RQ,,RQ,4.90E+09,https://en.wikipedia.org/wiki/United_States_Department_of_Energy#Budget
funding,,National Oceanic and Atmospheric Administration,RQ,,,,,RQ,6.70E+08,https://www.noaa.gov/sites/default/files/legacy/document/2020/Mar/NOAA%20FY21%20Budget%20Blue%20Book%20Summary.pdf
funding,,Environmental Protection Agency,,,,,,,7.48E+08,https://fas.org/sgp/crs/misc/R46341.pdf
funding,,US Food and Drug Administration,RQ,,,,,RQ,67100000,"https://www.fda.gov/media/154548/download#:~:text=FDA's%20budget%20for%20Fiscal%20Year%202021%20is%20%246.1%20billion.&text=About%2054%20percent%2C%20or%20%243.3,for%20by%20industry%20user%20fees.&text=The%20FDA%20budget%20is%20equivalent%20to%20%2410.01%20per%20American%20per%20year."
funding,,Fish and Wildlife Service,RQ,,,,,RQ,3.64E+07,https://www.doi.gov/sites/doi.gov/files/fy2022-fws-budget-justification.pdf
funding,,US Geological Survey,RQ,,,,,RQ,7.25E+08,https://fas.org/sgp/crs/misc/R46341.pdf
funding,,Bureau of Land Management,,,,,,,2.10E+07,https://fas.org/sgp/crs/misc/R46341.pdf
funding,,National Park Service,RQ,,,,RQ,,2.60E+07,https://fas.org/sgp/crs/misc/R46341.pdf
